TransitionName,CurrentPhase,NextPhase,Probability
AsxMarketPhases,CLOSED,PREOPEN,0.1
AsxMarketPhases,PREOPEN,OAPRINT,0.1
AsxMarketPhases,OAPRINT,OPEN,1.0
AsxMarketPhases,OPEN,PRECLOSE,0.01
AsxMarketPhases,PRECLOSE,CAPRINT,0.1
AsxMarketPhases,CAPRINT,CLOSED,1.0
HkseMarketPhases,CLOSED,PREOPEN,0.1
HkseMarketPhases,PREOPEN,OAPRINT,0.1
HkseMarketPhases,OAPRINT,OPEN,1.0
HkseMarketPhases,OPEN,PRECLOSE,0.01
HkseMarketPhases,PRECLOSE,CAPRINT,0.1
HkseMarketPhases,CAPRINT,CLOSED,1.0
TokyoMarketPhases,CLOSED,PREOPEN,0.1
TokyoMarketPhases,PREOPEN,OAPRINT,0.1
TokyoMarketPhases,OAPRINT,OPENMORNING,1.0
TokyoMarketPhases,OPENMORNING,NOONPRECLOSE,0.01
TokyoMarketPhases,NOONPRECLOSE,BREAK,0.1
TokyoMarketPhases,BREAK,NOONPREOPEN,0.1
TokyoMarketPhases,NOONPREOPEN,OPENAFTERNOON,0.1
TokyoMarketPhases,OPENAFTERNOON,PRECLOSE,0.01
TokyoMarketPhases,PRECLOSE,CAPRINT,0.1
TokyoMarketPhases,CAPRINT,CLOSED,1.0
